File Type,File Path,Line Number,Docker Command/Reference,Context/Usage,Category,Notes
Makefile,/Makefile,117,docker buildx create --name mcp-builder --use --bootstrap,Setup Docker Buildx for multi-platform builds,Build Infrastructure,
Makefile,/Makefile,118,docker buildx inspect --bootstrap,Verify Docker Buildx setup,Build Infrastructure,
Makefile,/Makefile,127,docker buildx build,Build all images with BuildKit,Image Building,Multi-platform build (linux/amd64,linux/arm64)
Makefile,/Makefile,150,docker buildx build,Build images with SBOM generation,Image Building,Includes provenance and SBOM generation
Makefile,/Makefile,174,docker buildx build,Push all images to registry,Image Publishing,Multi-platform push to registry
Makefile,/Makefile,304,docker-compose -f services/text-summarization/auth-service/docker-compose.yml up -d,Start local development environment,Development,Legacy local dev setup
Makefile,/Makefile,313,docker-compose -f docker-compose.dev.yml up -d,Start local development stack,Development,Main dev stack (Postgres/Vault/Redis)
Makefile,/Makefile,327,docker-compose -f docker-compose.dev.yml down,Stop local development stack,Development,
Makefile,/Makefile,332,docker-compose -f docker-compose.dev.yml ps,Check stack status,Development,
Makefile,/Makefile,337,docker-compose -f docker-compose.dev.yml logs -f,View stack logs,Development,
Makefile,/Makefile,342,docker-compose -f docker-compose.dev.yml --profile gh-tools up -d gh-cli,Start GitHub CLI service,Development,Optional GitHub tools
Makefile,/Makefile,384,docker system prune -f,Clean up build artifacts,Cleanup,
Shell Script,/scripts/test-ci-cd.sh,42,command -v docker,Check Docker prerequisite,Prerequisites Check,
Shell Script,/scripts/test-ci-cd.sh,57,docker buildx version,Check Docker BuildKit availability,Prerequisites Check,
Shell Script,/scripts/test-ci-cd.sh,59,docker buildx create --name local-builder --use --bootstrap,Setup local BuildKit builder,Build Infrastructure,
Shell Script,/scripts/test-ci-cd.sh,68,docker ps | grep registry:2,Check if local registry is running,Registry Management,
Shell Script,/scripts/test-ci-cd.sh,69,docker run -d -p 5000:5000 --name local-registry registry:2,Start local Docker registry,Registry Management,
Shell Script,/scripts/test-ci-cd.sh,70,docker start local-registry,Start existing registry container,Registry Management,
Shell Script,/scripts/test-ci-cd.sh,181,docker buildx build,Build images with BuildKit and SBOM,Image Building,CI/CD pipeline build step
Shell Script,/scripts/test-ci-cd.sh,260,docker network connect kind local-registry,Connect registry to kind network,Kubernetes Integration,
Shell Script,/scripts/test-ci-cd.sh,261,docker network connect kind local-registry,Connect registry to kind network,Kubernetes Integration,
Shell Script,/scripts/test-ci-cd.sh,285,docker stop local-registry,Stop local registry,Cleanup,
Shell Script,/scripts/test-ci-cd.sh,286,docker rm local-registry,Remove local registry container,Cleanup,
Shell Script,/scripts/test-ci-cd.sh,289,docker system prune -f,Clean up Docker system,Cleanup,
Shell Script,/scripts/generate-certs.sh,237,mkdir -p ${CERTS_DIR}/docker,Create Docker certificates directory,Certificate Management,Prepare certs for Docker Compose
Shell Script,/scripts/verify-dev-setup.sh,34,command -v docker,Check Docker installation,Prerequisites Check,
Shell Script,/scripts/verify-dev-setup.sh,36,docker ps,Check Docker daemon is running,Prerequisites Check,
Shell Script,/scripts/verify-dev-setup.sh,48,command -v docker-compose,Check Docker Compose installation,Prerequisites Check,
Shell Script,/scripts/verify-dev-setup.sh,86,docker-compose.dev.yml exists check,Verify development compose file exists,Project Structure Check,
Shell Script,/scripts/verify-dev-setup.sh,87,docker-compose -f docker-compose.dev.yml ps | grep Up,Check if development stack is running,Stack Verification,
Shell Script,/scripts/verify-dev-setup.sh,89,docker-compose -f docker-compose.dev.yml up -d,Start development stack if needed,Development Stack,
Shell Script,/scripts/verify-dev-setup.sh,144,docker-compose -f docker-compose.dev.yml ps postgres,Check PostgreSQL service status,Service Health Check,
Shell Script,/scripts/verify-dev-setup.sh,151,docker-compose -f docker-compose.dev.yml ps vault,Check Vault service status,Service Health Check,
